miRNA	d8	d10	d4	d12	d5	d17	d35	d11	d18	d22	d7	d14	d2	d16	d6	d27	d9	d20	d1	d19	d15	d13	d3	d21	d23	d39	d24	d40	d42	d25	d26	d28	d29	d30	d31	d32	d33	d34	m3	m5	m7	d36	d37	d38	d41	m13	d45	d47	d46	d48	m11	d43	m1	m17	m9	d44	m2	m15	m8	m10	m19	m6	m18	m27	m28	m21	m12	m16	m4	m36	m22	m14	m38	m32	m20	m29	m23	m26	m30	m35	m34	m31	m39	m37	m40	m33	m24	m25
hsa-miR-195-5p	9	21	9	21	4	21	8	20	10	12	7	12	8	6	5	10	27	11	7	11	15	8	21	16	16	13	17	9	1	16	22	8	10	18	5	9	17	19	3	2	0	10	15	14	7	0	3	6	10	5	2	14	0	1	2	9	0	5	5	5	2	5	1	0	0	0	1	12	2	1	0	3	0	0	0	1	5	2	3	1	5	0	2	1	2	2	2	4
hsa-miR-195-3p	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1249-3p	3	0	0	1	1	3	1	1	5	1	0	1	2	3	0	2	6	3	3	1	1	1	5	0	0	1	2	0	3	2	0	0	0	1	0	0	0	0	0	2	2	1	1	4	2	0	3	0	0	0	0	0	0	2	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	1
hsa-miR-1249-5p	6	4	2	12	2	1	0	2	1	0	1	5	1	8	3	0	5	5	0	0	0	1	0	3	1	0	4	9	0	3	2	2	4	2	3	1	4	3	1	2	3	2	0	6	2	1	1	0	1	8	2	0	6	1	4	9	10	1	2	2	1	0	0	1	3	2	10	4	1	15	1	2	4	0	10	0	0	4	2	1	9	0	2	10	9	20	6	2
hsa-miR-636	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	3	0	1	0	0	3	3	0	0	0	0	0	2	0	1	4	0	1	0	0	1	0	2	0	1	2	1	0	0	0	0	1	3	1
hsa-miR-381-5p	4	3	0	0	0	2	5	1	1	2	0	0	0	0	0	0	0	3	1	2	0	1	0	5	1	0	0	0	0	6	0	0	0	0	1	0	0	1	0	0	0	1	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-381-3p	5	1	1	3	1	9	5	0	2	1	4	2	3	2	2	1	10	2	5	2	1	3	12	3	3	0	3	5	2	0	8	2	8	3	1	4	0	0	0	0	0	4	2	0	3	0	2	1	5	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-5093	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-30b-5p	5	26	20	14	9	9	7	6	13	27	7	7	14	16	11	9	34	15	24	7	23	11	19	19	8	19	16	11	3	24	24	9	9	15	1	13	12	14	2	3	1	16	9	7	23	7	7	8	13	1	4	13	2	2	9	5	3	3	5	3	0	5	2	4	5	0	11	10	15	1	1	5	1	1	1	2	3	2	6	8	11	0	4	3	5	11	4	3
hsa-miR-890	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1248	7	5	7	11	6	4	8	11	7	8	17	7	9	11	11	17	11	13	3	13	23	21	10	10	12	39	5	9	1	25	15	9	10	5	11	17	14	7	2	8	103	19	9	16	7	3	3	17	6	3	10	12	8	3	10	2	10	27	30	8	6	12	7	8	10	5	32	149	19	8	6	28	3	1	5	13	13	3	10	6	2	9	29	4	14	10	16	12
hsa-miR-4458	4	0	0	1	0	0	0	0	0	0	1	3	2	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3130-5p	1	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	3	1	0	0	2	2	2	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-6715a-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-224-5p	2	0	3	1	7	1	1	2	1	0	6	4	8	1	1	7	8	0	0	0	1	3	9	1	0	4	0	4	30	7	5	3	9	9	14	19	1	5	0	0	0	4	1	1	21	0	17	13	11	34	0	30	0	0	0	27	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7107-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-129-5p	3	3	3	0	2	0	0	0	0	0	5	0	4	0	2	0	0	0	3	0	0	0	2	0	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4430	1	0	3	0	0	1	1	0	1	0	6	0	1	0	1	1	2	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	3	0	0	3	3	2	0	3	1	0	1	2	0	1	0	2	0	2	0	3	0	0	2	3	2	3	0	1	0	2	0	0	3	2	0	0	2	1	4	2	0	2	1	0	0	1	0	0	0	1	0	0	1	5	10	0
hsa-miR-5583-5p	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-1303	15	5	14	9	3	9	11	5	9	10	6	10	7	8	2	7	16	13	3	11	6	3	13	12	5	6	7	7	14	9	4	6	23	10	13	6	6	18	7	7	10	5	8	12	2	6	5	2	6	8	9	11	2	8	9	9	15	16	19	18	14	11	9	0	5	16	12	18	19	11	9	22	4	5	25	4	14	10	5	20	16	11	7	23	24	28	49	24
hsa-miR-1290	7	2	8	1	1	0	1	1	4	0	16	0	2	13	1	2	4	6	0	3	19	2	6	0	3	26	2	6	2	3	2	6	0	4	19	20	3	4	4	6	677	7	3	5	7	1	5	4	4	1	1	6	3	1	0	0	2	51	77	9	0	10	2	2	2	14	11	427	9	7	5	11	1	5	9	0	13	0	6	1	2	8	9	24	6	6	96	14
hsa-miR-550a-5p	2	2	9	2	1	1	2	1	2	4	2	2	5	4	3	5	5	2	4	4	1	1	3	2	5	4	2	3	4	9	4	1	3	4	4	4	5	0	0	5	0	1	2	1	7	2	10	1	4	1	0	4	0	0	7	7	0	2	0	1	1	0	0	0	0	3	7	0	4	1	0	0	3	0	3	0	2	0	0	1	0	0	1	5	13	1	6	0
hsa-miR-449c-5p	3	5	4	11	1	3	4	9	4	2	3	6	4	3	0	6	4	5	1	0	8	4	4	4	5	13	3	5	6	4	6	6	6	4	3	6	4	6	0	1	0	6	4	3	5	0	1	7	0	4	0	2	0	0	1	3	0	0	3	0	0	0	0	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
hsa-miR-197-3p	3	1	8	6	12	12	8	8	9	9	12	2	4	9	2	3	12	8	9	6	7	2	11	12	14	6	7	12	9	13	7	3	4	10	6	3	3	11	0	2	0	3	12	6	6	3	5	10	7	7	0	11	0	1	2	13	4	0	1	2	1	0	0	0	0	0	0	0	0	0	0	5	1	1	0	5	1	2	2	2	3	0	2	0	3	3	3	1
hsa-miR-513a-5p	8	4	14	5	7	7	13	3	8	4	4	5	10	6	2	14	24	11	6	14	5	10	8	12	6	7	19	3	4	24	9	5	9	8	9	16	9	9	3	19	1	12	14	9	5	7	4	0	7	3	2	7	5	13	7	4	13	14	11	17	6	7	7	7	10	11	17	1	14	9	7	7	3	7	6	7	4	12	21	9	20	4	8	17	14	37	14	20
hsa-miR-2277-5p	2	9	1	3	2	4	4	1	4	2	3	2	3	3	0	3	6	4	2	5	1	2	0	1	5	3	1	1	3	2	3	4	1	0	4	5	0	0	0	0	1	2	0	1	5	1	1	0	3	1	0	2	0	1	0	4	0	3	0	0	3	4	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	1	0	2	0	0	5	1	4	7	0
hsa-miR-3605-5p	3	4	6	1	2	0	1	0	0	2	2	1	1	3	3	2	6	0	5	1	0	4	2	4	1	1	1	2	2	7	8	1	4	4	2	1	8	2	1	2	0	3	1	3	1	2	3	1	1	3	0	7	0	1	3	1	3	1	0	0	0	1	0	2	0	1	1	0	1	10	0	0	0	1	2	3	4	1	0	3	1	1	3	2	3	5	4	0
hsa-miR-4668-5p	1	0	1	0	0	0	0	0	1	0	1	5	2	1	0	0	1	0	0	0	1	2	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	1	1	0	1	0	0	1	0	1	2	0	4	2	2	1	0	0	1	1	0	0	0	3	5	1	0	0	3	2	0	3	0	7	1	0	0	2	0	0	2	7	0	0	0	0	1	4	3	2
hsa-miR-668-3p	2	2	1	7	0	0	0	4	0	0	0	2	5	2	2	0	2	1	0	3	2	3	2	1	3	6	1	5	0	3	3	0	2	1	5	4	4	4	0	0	0	3	0	1	0	0	0	3	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-135a-5p	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3167	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
hsa-miR-6886-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-4667-3p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-433-3p	7	1	8	2	1	5	5	2	3	0	2	5	4	0	3	4	8	9	6	4	1	1	3	11	6	5	10	0	13	9	9	9	16	4	5	7	1	2	0	0	0	4	3	5	4	0	3	8	6	5	0	10	0	1	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0
hsa-miR-6511a-5p	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	4	0	0	1	0	0	1	0	1	0	0	3	0	0	1	2	0	0	0	0	2	0	2	0	2	3	1	1	3	0	2	1	1	4	0	0	0	0	0	1	0	1	0	9	2	2	1	6	4	3	4	7	5	3	4
hsa-miR-145-5p	20	48	24	35	15	27	30	46	23	13	16	36	10	8	10	49	81	13	29	14	17	42	16	33	11	35	23	17	11	103	56	39	64	48	33	42	44	38	0	1	0	35	52	84	13	4	3	7	11	5	0	19	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-145-3p	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-1185-1-3p	4	0	4	3	2	3	0	3	4	5	1	0	1	1	2	1	4	4	3	0	1	2	7	1	1	1	5	0	0	0	3	2	0	1	0	2	2	3	0	0	0	0	0	2	4	0	1	0	1	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
hsa-miR-1271-5p	2	1	0	4	0	0	1	1	2	0	2	0	5	2	1	1	6	2	0	3	4	6	1	4	1	0	0	0	3	1	1	4	1	4	5	0	2	2	0	0	4	1	3	1	1	0	4	2	3	0	0	7	0	2	1	3	0	0	0	4	3	5	0	0	0	3	2	0	0	0	0	0	0	0	3	0	1	0	0	0	2	3	1	5	2	5	4	0
hsa-miR-506-5p	2	0	1	3	0	3	0	1	0	2	1	3	0	0	0	0	0	0	0	1	0	2	0	6	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0	1	2	2	0	1	0	0	4	0	2	0	0	1	4	2	0	2
hsa-miR-506-3p	7	8	15	8	14	27	17	13	16	16	6	12	8	6	5	5	23	11	14	9	3	27	12	27	19	17	16	9	13	51	14	5	31	24	5	24	6	20	14	38	10	8	30	28	26	96	8	6	21	4	20	19	11	52	49	7	25	48	15	60	59	19	18	36	60	72	70	36	35	71	28	87	22	69	33	67	20	60	95	27	67	31	13	162	85	113	58	105
hsa-miR-450b-5p	4	5	13	4	2	5	2	3	2	6	4	6	5	4	3	0	2	7	2	5	1	0	6	6	8	3	5	1	3	5	2	3	1	2	1	2	2	0	2	1	1	3	7	4	6	0	7	5	4	0	0	4	1	0	0	5	0	2	0	0	0	2	0	0	4	3	1	0	1	0	0	2	1	2	0	2	1	0	4	0	0	4	1	0	0	1	2	3
hsa-miR-576-3p	1	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	3	3	3	0	2	0	0	0	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	1	0	0	2	0	2	1	0	0	2	0	0	1	0	0	1	4	2	0	0	2	3	0	0	6	1	0	0	0	0	0	0	0	0	0	0	3	0
hsa-miR-629-5p	2	2	1	1	0	1	2	0	0	0	0	0	1	1	0	0	1	2	0	1	0	0	6	3	0	0	2	0	1	0	2	4	3	1	1	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
hsa-miR-629-3p	3	0	1	1	3	6	1	1	0	1	0	0	0	2	2	0	6	1	1	0	0	0	2	0	2	2	1	1	4	4	6	0	0	0	2	0	3	2	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
hsa-miR-3916	1	1	0	0	0	0	0	2	0	0	1	0	0	0	2	1	0	2	0	0	0	0	0	2	2	0	0	0	0	2	3	2	0	2	3	0	0	1	0	0	0	2	4	2	0	1	0	2	0	0	6	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	4	0	1	0	2	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	5
hsa-miR-337-5p	5	1	2	5	3	2	2	5	2	2	2	3	3	10	5	7	8	3	4	1	5	5	4	4	4	16	2	2	2	10	8	3	2	3	1	4	6	3	0	0	0	5	5	3	1	0	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-337-3p	1	2	0	2	4	0	3	0	0	0	0	1	1	0	2	0	1	0	10	0	7	1	0	2	0	0	1	1	3	0	4	0	2	0	3	0	0	1	0	0	0	1	2	2	2	0	0	4	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-6746-5p	1	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1
hsa-miR-8485	1	1	4	2	0	1	0	0	7	1	1	5	3	1	2	0	3	2	0	4	1	2	1	2	3	2	6	0	2	6	6	4	2	5	5	6	6	2	1	2	5	2	0	3	2	1	1	2	5	2	0	2	0	0	1	1	5	3	2	3	0	0	1	0	3	2	5	4	0	2	1	1	0	0	3	1	0	1	3	0	5	1	1	5	2	0	4	6
hsa-miR-365a-5p	1	4	6	0	0	2	0	0	1	5	1	0	3	0	0	0	1	2	2	0	3	1	2	2	0	0	2	2	7	2	0	1	3	4	1	0	2	2	0	0	0	1	1	2	2	0	1	1	4	0	0	2	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0
hsa-miR-365a-3p	16	9	13	11	14	12	6	7	11	10	14	4	13	8	10	7	14	14	13	7	4	5	10	18	11	11	15	13	8	29	15	7	13	9	8	16	10	6	0	0	0	7	3	16	23	2	16	8	22	4	2	16	1	0	2	8	1	5	0	0	1	0	1	0	2	2	2	5	0	4	2	3	2	1	0	1	2	3	2	4	7	1	6	2	6	7	3	2
hsa-miR-365b-5p	3	0	1	2	0	0	2	3	3	1	5	2	4	0	0	0	5	0	0	1	6	0	3	2	1	0	3	0	2	3	1	1	3	4	2	0	0	1	2	0	0	1	0	1	1	0	2	1	0	2	2	4	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	2	0	0	0	6	2	1	4	2	1	0	0
hsa-miR-598-3p	5	4	2	1	0	3	3	2	0	1	3	0	4	0	2	3	7	0	1	2	4	3	1	8	2	1	8	0	7	1	7	3	3	1	0	3	1	3	0	0	0	3	0	1	11	0	5	4	5	1	0	6	0	0	3	3	0	0	0	0	1	0	0	1	2	0	1	0	0	0	0	3	0	0	1	0	0	0	1	0	2	1	4	0	0	1	1	1
hsa-miR-5010-3p	2	1	2	1	2	1	2	3	0	3	1	1	9	3	0	5	1	2	0	2	3	1	6	2	0	4	5	2	1	4	2	0	4	1	1	0	1	2	0	0	0	6	5	2	1	0	1	3	0	0	1	4	0	0	2	4	0	2	0	0	0	0	2	0	2	1	3	3	0	1	0	3	0	0	1	2	0	0	1	1	2	0	0	7	1	6	5	7
hsa-miR-136-3p	5	0	1	2	4	0	1	2	2	0	3	4	1	0	2	1	1	3	6	3	2	0	7	0	0	7	0	1	0	2	1	1	2	1	1	1	7	1	0	0	0	3	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
hsa-miR-641	5	2	1	3	1	1	2	4	0	3	1	5	3	2	1	1	3	0	1	1	6	3	4	0	4	3	1	6	4	3	3	1	3	2	5	1	3	10	0	0	0	12	8	6	3	7	2	3	8	2	3	4	0	1	8	11	2	19	0	10	4	2	3	2	0	3	14	7	4	5	5	16	3	0	4	2	3	0	2	5	7	1	3	7	13	12	16	2
hsa-miR-2115-5p	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-7974	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	1
hsa-miR-6744-5p	2	1	1	2	0	0	0	1	2	0	0	1	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-642a-5p	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-940	4	4	8	4	1	11	2	5	4	8	1	0	7	7	3	1	2	0	1	7	3	5	2	0	5	0	7	2	3	4	2	4	5	2	0	1	3	2	0	0	0	0	1	5	3	0	1	3	0	4	0	0	0	0	0	3	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	2	0	2	0	0	0	0	2	0	0	0	1	1	3	0	0	1
hsa-miR-1273h-5p	2	0	7	1	0	1	5	0	2	2	5	2	3	5	6	0	0	0	0	1	0	0	1	3	3	1	8	3	1	3	4	5	2	0	1	3	2	2	5	6	1	1	1	1	0	11	0	1	0	1	1	1	2	6	0	3	3	8	2	6	8	6	6	1	4	7	2	7	7	3	6	15	0	2	6	7	12	4	3	0	1	6	11	0	1	11	29	17
hsa-miR-1273h-3p	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	2	3	2	1	6	1	2	1	2	1	0	4	4	0	5	0	0	1	0	0	0	1	2	4	0	2
hsa-miR-328-3p	3	0	4	0	1	2	2	0	1	0	2	0	0	6	3	3	4	2	3	1	1	2	2	2	5	0	4	1	1	6	2	7	3	4	6	2	1	2	0	0	0	5	4	0	0	0	0	0	0	1	0	1	1	1	3	1	0	1	0	0	0	1	0	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	10	0
hsa-miR-664b-3p	3	0	2	3	8	0	4	2	0	2	10	2	3	1	2	4	7	3	2	2	5	2	1	0	7	7	7	8	2	9	7	1	2	4	1	6	0	5	0	1	2	3	0	5	5	1	1	5	1	2	2	3	0	1	2	1	0	5	4	1	0	3	0	6	9	1	8	2	1	0	1	1	0	6	1	2	0	1	6	0	1	6	1	2	6	3	3	6
hsa-miR-513c-3p	1	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8
hsa-miR-625-5p	2	1	3	0	0	1	1	0	0	0	2	0	1	0	0	0	0	2	0	3	1	1	0	0	0	0	2	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0
hsa-miR-19b-2-5p	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	4	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-3619-5p	2	2	3	2	2	0	3	0	0	0	2	2	0	2	0	0	5	0	0	0	0	2	0	0	1	0	1	0	2	1	0	0	3	2	1	4	1	3	0	0	0	0	0	1	1	0	2	2	3	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	1	2	0	0	0
hsa-miR-1321	1	0	0	0	0	0	0	0	0	2	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	2	0	0	1	1
hsa-miR-6770-5p	4	5	1	4	0	2	3	1	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	2	1	1	1	0	1	1	3	3	1	0	0	1	5	0	0	1	0	2	4	1	0	0	0	2	2	1	1	7	0	0	3	2	0	0	2	1	0	0	0	0	0	0	0	0	3	0	4	1	0	2	1	1	0	0	1	0	1	1	0	2	1	0	0
